ticker=AAPL, shift=21, model=ols, performance=0.6233302459998971
ticker=AAPL, shift=21, model=ridge, performance=0.6182922022550934
ticker=AAPL, shift=21, model=huber, performance=0.6191687076162293
ticker=AAPL, shift=21, model=knn, performance=0.22871112595852028
ticker=AAPL, shift=21, model=lstm, performance=-40.77630545731558
ticker=AAPL, shift=21, model=arima, performance=-4.089087694639196
ticker=AAPL, shift=15, model=ols, performance=0.7698709938861567
ticker=AAPL, shift=15, model=ridge, performance=0.7670579922733477
ticker=AAPL, shift=15, model=huber, performance=0.7645175251238585
ticker=AAPL, shift=15, model=knn, performance=0.2819900976939086
ticker=AAPL, shift=15, model=lstm, performance=-40.08103198869136
ticker=AAPL, shift=15, model=arima, performance=-4.0681043459917845
ticker=AAPL, shift=5, model=ols, performance=0.9389802266318549
ticker=AAPL, shift=5, model=ridge, performance=0.9380509514491371
ticker=AAPL, shift=5, model=huber, performance=0.9387939161713305
ticker=AAPL, shift=5, model=knn, performance=0.3579360686053167
ticker=AAPL, shift=5, model=lstm, performance=-31.84489027772056
ticker=AAPL, shift=5, model=arima, performance=-4.061218290236729
ticker=AAPL, shift=1, model=ols, performance=0.9886454570828791
ticker=AAPL, shift=1, model=ridge, performance=0.9884810750779622
ticker=AAPL, shift=1, model=huber, performance=0.9886969615194169
ticker=AAPL, shift=1, model=knn, performance=0.5203497508704373
ticker=AAPL, shift=1, model=lstm, performance=-17.04205899346205
ticker=AAPL, shift=1, model=arima, performance=-4.072332362098572
ticker=AIR, shift=21, model=ols, performance=0.6385526335186047
ticker=AIR, shift=21, model=ridge, performance=0.6461593662367955
ticker=AIR, shift=21, model=huber, performance=0.6485406991782043
ticker=AIR, shift=21, model=knn, performance=-1.3802633333118703
ticker=AIR, shift=21, model=lstm, performance=-2.7057045346184863
ticker=AIR, shift=21, model=arima, performance=-5.281087538109491
ticker=AIR, shift=15, model=ols, performance=0.7534009832570627
ticker=AIR, shift=15, model=ridge, performance=0.7518805298190203
ticker=AIR, shift=15, model=huber, performance=0.7491025028020601
ticker=AIR, shift=15, model=knn, performance=-1.098181248977101
ticker=AIR, shift=15, model=lstm, performance=-2.095483318706924
ticker=AIR, shift=15, model=arima, performance=-5.519872983103319
ticker=AIR, shift=5, model=ols, performance=0.9378146771005863
ticker=AIR, shift=5, model=ridge, performance=0.9366054329492088
ticker=AIR, shift=5, model=huber, performance=0.9394080631874032
ticker=AIR, shift=5, model=knn, performance=0.35912161434058165
ticker=AIR, shift=5, model=lstm, performance=-0.9716860347684266
ticker=AIR, shift=5, model=arima, performance=-109.08921192994367
ticker=AIR, shift=1, model=ols, performance=0.9895960463828426
ticker=AIR, shift=1, model=ridge, performance=0.9895577097362637
ticker=AIR, shift=1, model=huber, performance=0.9897235619531181
ticker=AIR, shift=1, model=knn, performance=0.6736214725971978
ticker=AIR, shift=1, model=lstm, performance=-0.4375514386665986
ticker=AIR, shift=1, model=arima, performance=-5.498071366976909
ticker=BA, shift=21, model=ols, performance=0.6986496365628332
ticker=BA, shift=21, model=ridge, performance=0.6785737785246604
ticker=BA, shift=21, model=huber, performance=0.6968161579530636
ticker=BA, shift=21, model=knn, performance=-3.650327473678141
ticker=BA, shift=21, model=lstm, performance=-4059.966540197873
ticker=BA, shift=21, model=arima, performance=-3.3305251143785117
ticker=BA, shift=15, model=ols, performance=0.8123411285038564
ticker=BA, shift=15, model=ridge, performance=0.8016166137722431
ticker=BA, shift=15, model=huber, performance=0.8149696663904498
ticker=BA, shift=15, model=knn, performance=-1.8076086570784518
ticker=BA, shift=15, model=lstm, performance=-6388.655467175252
ticker=BA, shift=15, model=arima, performance=-3.088623102472585
ticker=BA, shift=5, model=ols, performance=0.9465977196792561
ticker=BA, shift=5, model=ridge, performance=0.9461310013868899
ticker=BA, shift=5, model=huber, performance=0.947005115540801
ticker=BA, shift=5, model=knn, performance=-1.2263601034892426
ticker=BA, shift=5, model=lstm, performance=-4843.844710003829
ticker=BA, shift=5, model=arima, performance=-2.3642888230107526
ticker=BA, shift=1, model=ols, performance=0.990690197567949
